"80","1","Habiletés comportementales","Montre un comportement adéquat en classe (déplacements en classe)","L'élève est calme et son comportement est adéquat en classe","L'élève bouge un peu mais se calme avec l'intervention de l'adulte","L'élève est agité et il perturbe le déroulement de la classe","2024-04-17 01:47:40","2024-04-17 01:47:40"
"149","1","Habiletés cognitives","Identifie la fonction des parties du corps","L'élève comprend la fonction des parties du corps.","Avec aide, l'élève comprend la fonction de certaines parties du corps.","L'élève ne comprend pas la fonction des parties du corps.","2024-04-17 01:47:40","2024-04-18 13:24:07"
"150","1","Habiletés cognitives","Identifie les conditions météorologiques: ensoleillé, nuageux, pluvieux","L'élève comprend les conditions météorologiques (ensoleillé, nuageux, pluvieux)","Avec aide, l'élève comprend une ou deux conditions météorologiques (ensoleillé, nuageux, pluvieux)","L'élève ne comprend pas les conditions météorologiques (ensoleillé, nuageux, pluvieux)","2024-04-17 01:47:40","2024-04-18 13:26:14"
"151","1","Habiletés cognitives","Regroupe des objets ou des images dans des catégories simples (ex. animaux, nourriture, transports, vêtements, meubles, jouets, etc.)","L'élève regroupe des objets ou des images dans des catégories simples (ex. animaux, nourriture, transports, vêtements, meubles, jouets, etc.).","Avec le support de l'adulte, l'élève peut regrouper certains des objets ou des images dans des catégories simples (ex. animaux, nourriture, transports, vêtements, meubles, jouets, etc.).","Malgré l'aide de l'adulte, l'élève ne regroupe pas d'objets ou d'images dans des catégories simples (ex. animaux, nourriture, transports, vêtements, meubles, jouets, etc.).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"152","1","Habiletés cognitives","Classifie les objets, les personnes ou les événements selon un critère spécifique (ex.: groupe des vêtements selon la couleur ou la taille)","L'élève classifie les objets, les personnes ou les événements selon un critère spécifique (ex.: groupe des vêtements selon la couleur ou la taille).","L'élève classifie certains objets, personnes ou événements selon un critère spécifique (ex.: groupe des vêtements selon la couleur ou la taille).","L'élève ne classifie pas les objets, les personnes ou les événements selon un critère spécifique (ex.: groupe des vêtements selon la couleur ou la taille).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"153","1","Habiletés cognitives","Classe des photos d'objets par catégorie (ex.: alimentation, transport, animaux, vêtements, etc.)","L'élève classe des photos d'objets par catégorie (ex.: alimentation, transport, animaux, vêtements, etc.).","Avec l'aide de l'adulte, l'élève peut classer certaines photos d'objets par catégorie (ex.: alimentation, transport, animaux, vêtements, etc.).","Malgré l'aide de l'adulte, l'élève ne peut classer de photos d'objets par catégorie (ex.: alimentation, transport, animaux, vêtements, etc.).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"154","1","Habiletés académiques-sciences","Apparie les lettre (A-Z)","L'élève qpparie les lettres (A-Z).","L'élève apparie certaines lettres (A-Z).","L'élève n'apparie pas de lettres (A-Z).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"155","1","Habiletés académiques-sciences","Apparie lettres majuscules/minuscules","L'élève apparie les lettres majuscules/minuscules.","L'élève apparie certaines lettres majuscules/minuscules.","L'élève n'apparie pas lettres majuscules/minuscules.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"156","1","Habiletés académiques-sciences","Apparie les chiffres (10 et plus )","L'élève apparie les chiffres (10 et plus ).","L'élève apparie certains chiffres (moins de 10 ).","L'élève n'apparie pas de chiffres.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"157","1","Habiletés académiques-sciences","Apparie des objets par couleurs (4 et plus)","L'élève apparie des objets par couleurs (4 et plus).","L'élève apparie certains objets par couleurs (moins de 4).","L'élève n'apparie pas d'objets par couleurs.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"158","1","Habiletés académiques-sciences","Apparie des objets par taille (petit/moyen/grand)","L'élève apparie des objets par taille (petit/moyen/grand)","L'élève apparie certains objets par taille (petit/moyen/grand)","L'élève n'apparie pas d'objets par taille (petit/moyen/grand).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"159","1","Habiletés académiques-sciences","Apparie les parties du corps (5-10 -15 et plus)","L'élève apparie les parties du corps (15 et plus).","L'élève apparie les parties du corps (entre 10 et 15). L'élève apparie certaines parties du corps (moins de 10).","L'élève n'apparie pas les parties du corps.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"160","1","Habiletés académiques-sciences","Apparie les noms d'animaux (5-10 -15 et plus)","L'élève apparie les noms d'animaux (15 et plus).","L'élève apparie les noms d'animaux (entre 10 et 15). L'élève apparie certains noms d'animaux (moins de 10).","L'élève n'apparie pas les noms d'animaux.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"161","1","Habiletés académiques-sciences","Apparie les noms de moyens de transport (5-10 -15 et plus)","L'élève apparie les noms de moyens de transport (15 et plus).","L'élève apparie les noms de moyens de transport (entre 10 et 15). L'élève apparie certains noms de moyens de transport (moins de 10).","L'élève n'apparie pas les noms de moyens de transport.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"162","1","Habiletés académiques-sciences","Apparie les fruits/légumes (5-10 -15 et plus)","L'élève apparie les fruits/légumes(15 et plus).","L'élève apparie les fruits/légumes (entre 10 et 15). L'élève apparie certains fruits/légumes(moins de 10).","L'élève n'apparie pas les fruits/légumes.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"163","1","Habiletés académiques-sciences","Apparie 10+ mots identiques (Toutes catégories )","L'élève apparie plus de 10 mots (toutes catégories).","L'élève apparie moins de 10 mots (toutes catégories).","L'élève n'apparie pas de 10 mots.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"164","1","Habiletés académiques-sciences","Apparie images/mots écrits (Toutes catégories )","L'élève apparie des images/mots écrits (Toutes catégories ).","L'élève apparie avec l'aide de l'adulte des images/mots écrits (Toutes catégories ).","L'élève n'apparie pas d'images/mots écrits.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"165","1","Habiletés académiques-sciences","Apparie des photos de personnes familières/noms écrits","L'élève apparie des photos de personnes familières/noms écrits.","L'élève apparie certaines photos de personnes familières/noms écrits.","L'élève n'apparie pas de photos de personnes familières/noms écrits.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"166","1","Habiletés académiques-sciences","Apparie photos objets /noms objets écrits","L'élève apparie des photos d'objets/noms objets écrits","L'élève apparie certaines photos d'objets /noms objets écrits.","L'élève n'apparie pas de photos d'objets /noms objets écrits.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"167","1","Habiletés académiques-sciences","Apparie 1-20 chiffres/écrit","L'élève apparie les chiffres de 1 à 20/écrit","Avec l'aide de l'adulte, l'élève apparie les chiffres de 1 à 20/écrit","L'élève n'apparie pas les chiffres de 1 à 20/écrit.","2024-04-17 01:47:40","2024-04-18 13:31:19"
"168","1","Habiletés académiques-sciences","Apparie 1-20 chiffres/nombre correspondant d'objets","L'élève apparie les chiffres de 1 à 20/nombre correspondant d'objets","Avec aide, l'élève apparie les chiffres de 1 à 20/nombre correspondant d'objets","L'élève n'apparie pas de chiffres de 1 à 20/nombre correspondant d'objets.","2024-04-17 01:47:40","2024-04-18 13:33:07"
"169","1","Habiletés académiques-sciences","Trie les chiffres de 1 à 10 et plus","L'élève trie les chiffres au-dela de 10.","L'élève trie les chiffres entre 1 et 10.","L'élève ne trie pas les chiffres.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"170","1","Habiletés académiques-sciences","Trie des objets selon l'attibut (taille, couleur, forme, texture, fonction)","L'élève trie des objets selon l'attibut (taille, couleur, forme, texture, fonction).","L'élève trie certains objets selon l'attibut (taille, couleur, forme, texture, fonction). L'élève ne trie pas d'objets selon l'attibut (taille, couleur, forme, texture, fonction).","L'élève ne trie pas d'objets selon l'attibut (taille, couleur, forme, texture, fonction).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"171","1","Habiletés académiques-sciences","Trie les lettres de l'alphabet (A-Z)","L'élève trie les lettres de l'alphabet (A-Z).","L'élève trie certaines lettres de l'alphabet (A-Z).","L'élève ne trie pas les lettres de l'alphabet (A-Z).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"172","1","Habiletés académiques-sciences","Identifie (sur demande) les chiffres (1-10-20 et plus)","L'élève identifie sur demande les chiffres de 1-10-20 et plus.","Avec l'aide, l'élève identifie sur demande certains chiffres entre 1-10-20","L'élève n''est pas capable d'identifier de chiffres entre 1-10-20.","2024-04-17 01:47:40","2024-04-18 13:37:55"
"173","1","Habiletés académiques-sciences","Identifie (sur demande) les couleurs (3-5-7 -10 et plus )","L'élève identifie sur demande plus de 10 couleurs.","L'élève identifie sur demande entre 5 et 10 couleurs. L'élève identifie sur demande moins de 10 couleurs.","L'élève n'identifie pas de couleurs.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"174","1","Habiletés académiques-sciences","Identifie (sur demande) les grandeurs (Petit-Moyen-Grand)","L'élève identifie sur demande les grandeurs (Petit-Moyen-Grand).","Avec aide, l'élève identifie sur demande certaines grandeurs (Petit-Moyen-Grand).","L'élève n'est pas capable d'identifier les grandeurs (Petit-Moyen-Grand).","2024-04-17 01:47:40","2024-04-18 13:39:46"
"175","1","Habiletés académiques-sciences","Identifie (sur demande) les parties du corps (5-10 -15 et plus)","L'élève identifie sur demande les parties du corps (5-10-15 et plus).","Avec aide, l'élève identifie sur demande certaines parties du corps (5-10-15)","L'élève n'est pas capable d'identifier les parties du corps.","2024-04-17 01:47:40","2024-04-18 13:41:51"
"176","1","Habiletés académiques-sciences","Identifie (sur demande) les noms d'animaux (5-10 -15 et plus)","L'élève identifie sur demande les noms d'animaux (5-10-15 et plus).","Avec aide, l'élève identifie sur demande certains noms d'animaux (5-10-15).","L'élève n'est pas capable d'identifier des noms d'animaux.","2024-04-17 01:47:40","2024-04-18 13:43:54"
"177","1","Habiletés académiques-sciences","Identifie (sur demande) les noms de moyens de transport (5-10 -15 et plus)","L'élève identifie sur demande les noms de moyens de transport (5-10-15 et plus).","Avec aide, l'élève identifie sur demande certains noms de moyens de transport (5-10-15).","L'élève n'est pas capable d'identifier des noms de moyens de transport.","2024-04-17 01:47:40","2024-04-18 13:45:20"
"178","1","Habiletés académiques-sciences","Identifie (sur demande) les fruits/légumes (5-10 -15 et plus)","L'élève identifie sur demande les fruits/légumes (5-10-15 et plus).","Avec aide, l'élève identifie sur demande certains fruits/légumes (5-10-15 et plus).","L'élève n'est pas capable d'identifier des fruits/légumes.","2024-04-17 01:47:40","2024-04-18 13:46:01"
"179","1","Habiletés académiques-lecture-pré-écriture","Tourne les pages d'un livre","L'élève tourne seul les pages d'un livre.","Avec aide, l'élève tourne les pages d'un livre","L'élève ne tourne pas seul les pages d'un livre.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"180","1","Habiletés académiques-lecture-pré-écriture","Écoute en silence et avec intérêt (5min) un adulte faire la lecture d'une histoire","L'élève écoute en silence et avec intérêt (5min) un adulte faire la lecture d'une histoire.","L'élève écoute en silence et avec intérêt (- de 5min) un adulte faire la lecture d'une histoire.","L'élève, n'écoute pas en silence un adulte faire la lecture d'une histoire.","2024-04-17 01:47:40","2024-04-18 13:48:50"
"181","1","Habiletés académiques-lecture-pré-écriture","Pointe une lettre sur demande","L'élève pointe une lettre sur demande","Avec aide, l'élève arrive à pointer une lettre sur demande","L'élève ne pointe pas une lettre sur demande","2024-04-17 01:47:40","2024-04-18 12:07:20"
"182","1","Habiletés académiques-lecture-pré-écriture","Identifie les lettres majuscules en les pointant sur un abécédaire","L'élève identifie les lettres majuscules en les pointant sur un abécédaire.","L'élève identifie avec un peu d'aide les lettres majuscules en les pointant sur un abécédaire.","L'élève n'identifie pas de lettres majuscules en les pointant sur un abécédaire.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"183","1","Habiletés académiques-lecture-pré-écriture","Identifie les lettres minuscules en les pointant sur un abécédaire","L'élève identifie les lettres minuscules en les pointant sur un abécédaire.","L'élève identifie avec un peu d'aide les lettres minuscules en les pointant sur un abécédaire.","L'élève n'identifie pas de lettres minuscules en les pointant sur un abécédaire.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"184","1","Habiletés académiques-lecture-pré-écriture","Met en ordre les lettres de l'alphabet","L'élève met en ordre les lettres de l'alphabet.","L'élève met en ordre les lettres de l'alphabet mais se trompe quelques fois.","L'élève ne met pas et en ordre les lettres de l'alphabet,","2024-04-17 01:47:40","2024-04-17 01:47:40"
"185","1","Habiletés académiques-lecture-pré-écriture","Apparie sa photo avec son prénom écrit","L'élève apparie sa photo avec son prénom écrit.","Avec aide, l'élève apparie sa photo avec son prénom écrit.","L'élève n'apparie pas sa photo avec son prénom écrit.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"186","1","Habiletés académiques-lecture-pré-écriture","Reconnaît son prénom écrit","L'élève reconnaît son prénom écrit.","Avec aide, l'élève reconnaît son prénom écrit","L'élève ne reconnaît pas son prénom écrit.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"187","1","Habiletés académiques-lecture-pré-écriture","Reconnaît les prénoms écrits de ses pairs","L'élève reconnaît les prénoms écrits de ses pairs.é","L'élève reconnaît certains prénoms écrits de ses pairs.","L'élève ne reconnaît pas les prénoms écrits de ses pairs.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"188","1","Habiletés académiques-lecture-pré-écriture","Apparie les photos des personnes familières avec leur prénom écrit, ex.: pairs, enseignant, etc.","L'élève apparie les photos des personnes familières avec leur prénom écrit, ex.: pairs, enseignant, etc.. ","L'élève apparie les photos des personnes familières avec leur prénom écrit, ex.: pairs, enseignant, etc. avec l'aide de l'adulte.","L'élève n'apparie pas les photos des personnes familières avec leur prénom écrit, ex.: pairs, enseignant, etc.","2024-04-17 01:47:40","2024-04-18 16:34:38"
"201","1","Habiletés académiques-lecture-pré-écriture","Colorie à l'intérieur du contour","L'élève colorie à l'intérieur du contour.","La plupart du temps, l'élève colorie à l'intérieur du contour.","L'élève ne colorie pas à l'intérieur du contour.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"202","1","Habiletés académiques-lecture-pré-écriture","Fait des traits, des gribouillis et des points avec un marqueur ou un crayon de couleur","L'élève fait des traits, des gribouillis et des points avec un marqueur ou un crayon de couleur.","Avec aide, l'élève arrive à faire des traits, de gribouillis et de points avec un marqueur ou un crayon de couleur.","L'élève ne fait pas de traits, de gribouillis et de points avec un marqueur ou un crayon de couleur.","2024-04-17 01:47:40","2024-04-18 16:56:36"
"203","1","Habiletés académiques-lecture-pré-écriture","Dessine des formes simples: cercle, carré, triangle, rectangle","L'élève dessine des formes simples: cercle, carré, triangle, rectangle.","L'élève dessine avec de l'aide des formes simples: cercle, carré, triangle, rectangle.","L'élève ne dessine pas de formes simples: cercle, carré, triangle, rectangle.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"204","1","Habiletés académiques-lecture-pré-écriture","Dessine une personne avec 4 à 6 parties du corps","L'élève dessine une personne avec au moins 6 parties du corps.","L'élève dessine une personne avec moins de 6 parties du corps.","L'élève ne dessine pas une personne avec les parties du corps.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"205","1","Habiletés académiques-lecture-pré-écriture","Dessine des images qui représentent des choses, ex.: un chien, une maison","L'élève dessine des images qui représentent des choses, ex.: un chien, une maison.","L'élève dessine avec de l'aide des images qui représentent des choses, ex.: un chien, une maison .","L'élève ne dessine pas d'images qui représentent des choses, ex.: un chien, une maison. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"206","1","Habiletés académiques-lecture-pré-écriture","Utilise différentes couleurs pour desssiner/peindre une image","L'élève utilise différentes couleurs pour dessiner/peindre une image","Avec aide, l'élève arrive à utiliser différentes couleurs pour dessiner/peindre une image"," L'élève n'utilise pas différentes couleurs pour dessiner/peindre une image","2024-04-17 01:47:40","2024-04-18 12:06:47"
"207","1","Habiletés académiques-lecture-pré-écriture","Manipule l'argile/pâte à modeler pour créer différentes formes","L'élève manipule l'argile/pâte à modeler pour créer différentes formes.","L'élève manipule avec aide l'argile/pâte à modeler pour créer différentes formes.","L'élève ne manipule pas l'argile/pâte à modeler pour créer différentes formes.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"208","1","Habiletés académiques-lecture-pré-écriture","Est attentif à la musique, chansons, etc. pendant une activité de groupe","L'élève est attentif à la musique, chansons, etc. pendant une activité de groupe.","L'élève est attentif à la musique, chansons, etc. pendant une activité de groupe mais pour une courte période de temps.","L'élève n'est pas attentif à la musique, chansons, etc. pendant une activité de groupe.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"209","1","Habiletés académiques-lecture-pré-écriture","Trace des figures (lignes horiz/vert, cercles, diagonale…+, X)","L'élève trace des figures (lignes horizontales/verticales, cercles, diagonale…+, X).","L'élève trace des figures avec l'aide de l'adulte (lignes horizontales/verticales, cercles, diagonale…+, X).","L'élève ne trace pas de figures (lignes horizontales/verticales, cercles, diagonale…+, X).","2024-04-17 01:47:40","2024-04-17 01:47:40"
"210","1","Habiletés académiques-lecture-pré-écriture","Relie les points d'un dessin ou d'une image à points","L'élève relie les points d'un dessin ou d'une image à points.","Avec l'aide de l'adulte, l'élève arrive à relier les points d'un dessin ou d'une image à points.","L'élève ne relie pas les points d'un dessin ou d'une image à points.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"211","1","Habiletés académiques-lecture-pré-écriture","Écrit les lettres majuscules/minuscules à partir d'un modèle","L'élève écrit les lettres majuscules/minuscules à partir d'un modèle.","Avec l'aide de l'adulte, l'élève arrive à écrire les lettres majuscules/minuscules à partir d'un modèle.","L'élève n'écrit pas de lettres majuscules/minuscules à partir d'un modèle.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"212","1","Habiletés académiques-lecture-pré-écriture","Écrit les lettres majuscules/minuscules de mémoire","L'élève écrit les lettres majuscules/minuscules de mémoire.","Avec aide, l'élève arrive à écrire certaines lettres majuscules/minuscules de mémoire.","L'élève ne peut pas écrire de lettre majuscules/munuscules de mémoire.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"213","1","Habiletés académiques-lecture-pré-écriture","Écrit des chiffres de mémoire","L'élève écrit des chiffres de mémoire.","Avec aide, l'élève arrive à écrire quelques des chiffres de mémoire.","L'élève ne peut pas écrire des chiffres de mémoire.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"214","1","Habiletés académiques-lecture-pré-écriture","Écrit son prénom de mémoire","L'élève écrit son prénom de ménoire","Avec aide, l'élève arrive à écrire son prénom de mémoire","L'élève n'est pas capable d'écrire son prénom de mémoire","2024-04-17 01:47:40","2024-04-18 12:04:01"
"215","1","Habiletés sociales-développement social et personnel","Conscience de soi-Se regarde dans un miroir, sourit/joue avec son reflet d'image","L'élève sourit/joue avec son reflet d'image dans un miroir.","L'éléve réagit peu avec son reflet d'image dans un miroir.","L'élève ne montre aucune réaction quand il regarde son reflet d'image dans un miroir.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"216","1","Habiletés sociales-développement social et personnel","Conscience de soi-identifie ses effets personnels (pointe ou les apporte a l'adulte)","L'élève est capable d'identifier ses effets personnels (pointe ou les apporte à l'adulte).","Avec aide, l'élève est capable d'identifier quelques uns de ses effets personnels (pointer ou les apporter à l'adulte).","L'élève n'est pas capable d'identifier ses effets personnels (pointer ou les apporter à l'adulte).","2024-04-17 01:47:40","2024-04-18 14:04:25"
"217","1","Habiletés sociales-développement social et personnel","Conscience de soi-Fait référence à lui-même par Je ou Moi","L'élève a la conscience de lui-meme, il est capable de faire référence à lui-même par ""Je"" ou ""Moi"".","L'élève montre peu de conscience de lui-meme, il a parfois de la difficulté à faire référence à lui-même par ""Je"" ou ""Moi"".","L'élève n'a pas la conscience de lui-meme, il n'est pas capable de faire référence à lui-même par ""Je"" ou ""Moi"". ","2024-04-17 01:47:40","2024-04-18 13:59:18"
"218","1","Habiletés sociales-développement social et personnel","Conscience de soi-Dit son age ou montre avec ses doitgs","L'élève est capable de dire son âge ou de montrer son âge avec ses doitgs.","L'élève a de la difficulté à dire son âge ou à montrer son âge avec ses doitgs, il a besoin de l'aide de l'adulte.","L'élève n'est pas capable de dire son âge ou de montrer son âge avec ses doitgs malgré l'aide de l'adulte. ","2024-04-17 01:47:40","2024-04-18 14:06:53"
"219","1","Habiletés sociales-développement social et personnel","Conscience de soi-Identifie /Indique des propres sentiments et émotions","L'élève est capable d'identifier et/ou indiquer ses propres sentiments et émotions.","Avec l'aide de l'adulte, l'élève est capable d'identifier et/ou indiquer ses propres sentiments et émotions.","L'élève n'est pas capable d'identifier et/ou indique ses propres sentiments et émotions malgré l'aide de l'adulte.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"220","1","Habiletés sociales-développement social et personnel","Vérifie son apparence et corrige son habillement /Etat","L'élève maintien son aspect propre et soigné, il vérifie son apparence et corrige son habillement","Avec aide, l'élève arrive parfois à maintenir son aspect propre et soigné, ou à vérifier son apparence et corriger son habillement.","L'élève ne maintien pas son aspect propre et soigné, il ne vérifie pas son apparence et ne corrige pas son habillement. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"221","1","Habiletés sociales-développement social et personnel","Répond a des expériences visuelles, auditives, olfactive et de gout","L'élève répond à des expériences visuelles, auditives, olfactive et de gout.","Avec l'aide de l'adulte, l'élève peut répondre à certaines expériences visuelles, auditives, olfactive et de gout.","L'élève ne répond pas à des expériences visuelles, auditives, olfactive et de gout.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"222","1","Habiletés sociales-développement social et personnel","Démontre de l'intérêt face aux autres-émets des sons, va vers les autres","Sur le plan des interactions cociales, l'élève montre d'intérêt aux autres.","Avec aide, l'élève montre peu d'intérêt aux autres; Les habilités sociales sont en cours d'acquisition.","Sur le plan des interactions sociales, l'élève ne montre pas d'intérêt aux autres. ","2024-04-17 01:47:40","2024-04-18 14:09:03"
"223","1","Habiletés sociales-développement social et personnel","Essaie d'attirer l'attention des autres (vocalisations, gestes…)","L'élève essaie d'attirer l'attention de ses pairs par des paroles, vocalisations ou gestes.","L'élève essaie parfois d'attirer l'attention de ses pairs par des paroles, vocalisations ou gestes.","L'élève n'essaie pas d'attirer l'attention de ses pairs ni par des paroles, ni par des vocalisations, ni par des gestes.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"224","1","Habiletés sociales-développement social et personnel","Démontre de l'intérêt aux jouets","L'élève montre de l'intérêt aux jouets.","L'élève montre parfois de l'intérêt aux jouets.","L'élève ne montre pas d'intérêt aux jouets. ","2024-04-17 01:47:40","2024-04-18 14:10:59"
"225","1","Habiletés sociales-développement social et personnel","Joue de facon indépendante et appropriée","L'élève joue de façon indépendante et appropriée.","Avec l'aide de l'adulte, l'élève peut jouer de façon appropriée.","L'élève ne joue pas de façon indépendante et appropriée.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"226","1","Habiletés sociales-développement social et personnel","Joue avec les pairs","L'élève joue aisément avec ses pairs.","Avec aide, l'élève arrive à jouer parfois avec ses pairs.","L'élève ne joue pas avec ses pairs. ","2024-04-17 01:47:40","2024-04-18 14:12:23"
"227","1","Habiletés sociales-développement social et personnel","Participe aux activités de jeux de groupe","L'élève participe spontanément aux activités de jeux de groupe.","L'élève participe aux activités de jeux de groupe avec le support de l'adulte.","L'élève ne participe pas aux activités de jeux de groupe.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"228","1","Habiletés de motricité-fine","Tient un objet dans chaque main","L'élève peut tenir un objet dans chaque main.","L'élève peut tenir un object dans seulement une main.","L'élève ne peut pas tenir d'objects dans ses mains.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"229","1","Habiletés de motricité-fine","Transvase des objets d'un contenant à un autre moyen","L'élève transvase des objets d'un contenant à un autre.","Avec l'aide de l'adulte, l'élève peut transvaser des objets d'un contenant à un autre.","Malgré l'aide de l'audlte, l'élève ne transvase pas d'objets d'un contenant à un autre.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"230","1","Habiletés de motricité-fine","Transvase du sable d'un conteneant à un autre","L'élève transvase du sable d'un contenant à un autre.","Avec l'aide de l'adulte, l'élève peut transvaser du sable d'un contenant à un autre.","Malgré l'aide de l'adulte, l'élève ne transvase pas de sable d'un contenant à un autre.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"231","1","Habiletés de motricité-fine","Décroche des pictogrammes avec ses mains","L'élève est capable de décrocher des pictos avec ses mains","Avec le support de l'adulte, l'élève arrive à décrocher des pictos avec ses mains","Malgré le support de l'adulte, l'élève n'est pas capable de décrocher des pictos avec ses mains. ","2024-04-17 01:47:40","2024-04-17 01:47:40"
"232","1","Habiletés de motricité-fine","Enfile des perles-Moyennes- Petites","L'élève est capable d'enfiler des perles.","Avec le support de l'adulte, l'élève peut enfiler des perles.","Malrgé le support de l'adulte, l'élève n'est pas capable d'enfiler des perles.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"233","1","Habiletés de motricité-fine","Aligne et empile des légos","L'élève aligne et empile seul des légos.","Avec l'aide de l'adulte, l'élève réussit à aligner et empiler des légos.","Malgré l'aide de l'adulte, l'élève ne réussit pas à aligner et emplier des légos.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"234","1","Habiletés de motricité-fine","Tient le crayon adéquatement","L'élève tient le crayon adéquatement.","L'élève réussit parfois à tenir le crayon adéquatement.","L'élève ne réussit pas à tenir le crayon adéquatement.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"235","1","Habiletés de motricité-fine","Suit visuellement un objet","L'élève suit visuellement un objet .","Avec aide, l'élève arrive à furtivement suivre des yeux un objet","L'élève ne suit pas visuellement un objet.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"236","1","Habiletés de motricité-fine","Place ses ciseaux sur ses doigts et les tient correctement","L'élève place ses ciseaux sur ses doigts et les tient correctement.","L'élève à besoin d'aide pour placer ses ciseaux sur ses doigts et les tenir correctement.","L'élève n'est pas capable de placer ses ciseaux sur ses doigts et de les tenir correctement.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"237","1","Habiletés de motricité-fine","Utilise une cuillère en plastique","L'élève est capable d'utiliser une cuillère en plastique","Avec aide, l'élève est capable d'utiliser une cuillière en plastique","L'élève n'est pas capable d'utiliser une cuillère en plastique","2024-04-17 01:47:40","2024-04-18 12:02:39"
"238","1","Habiletés de motricité-fine","Ramasse des objets ou matériaux d'une boite sensorielle (riz, pâtes, semoule )","L'élève réussit à ramasser des objets ou matériaux d'une boite sensorielle (riz, pâtes, semoule ).","Sans aide, l'élève a de la dfifficulté à ramasser des objets ou matériaux d'une boite sensorielle (riz, pâtes, semoule )","Même avec aide de l'adulte, l'élève ne réussit pas à ramasser des objets ou matériaux d'une boite sensorielle (riz, pâtes, semoule ).","2024-04-17 01:47:40","2024-04-18 14:15:41"
"239","1","Habiletés de motricité-fine","Dévisser une bouteille","L'élève est capable de dévisser une bouteille.","L'élève à de la difficulté à dévisser une bouteille.","L'élève n'est pas capable de dévisser une bouteille.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"240","1","Habiletés de motricité-fine","Allume et éteint la lumière avec un interrupteur","L'élève sait allumer et éteindre la lumière avec un interrupteur. L'élève a de la difficulté à allumer et éteindre la lumière avec un interrupteur.","L'élève ne sait pas allumer et éteindre la lumière avec un interrupteur.",,"2024-04-17 01:47:40","2024-04-17 01:47:40"
"241","1","Habiletés de motricité-globale","Monte/Descend les marches","L'élève monte/descend les marches seul.","Avec aide, l'élève peut monter/descendre des marches","L'élève ne peut pas monte/descend les marches seul.","2024-04-17 01:47:40","2024-04-17 01:47:40"
"242","1","Habiletés de motricité-globale","Court/Grimpe/Saute","L'élève court, grimpe et saute de manière autonome.","Avec aide, l'élève arrive à courir, grimper, et sauter","L'élève n'arrive pas à courir, grimper et/ou sauter.","2024-04-17 01:47:40","2024-04-17 01:47:40"
